Year,NPV
Utility Bills,175696328.93525162
Utility Bills (volumetric),103326781.91025838
Utility Bills (demand),15994378.283380425
Utility Bills (res),139497620.90875447
Utility Bills (work),25205833.129889656
Utility Bills (pub L2),161768.95915716328
Utility Bills (DCFC),10831105.937450375
Incremental upfront vehicle cost,51076397.46752378
Charging infrastructure cost,561492644.8560166
Charging infrastructure cost (res),289650963.4586908
Charging infrastructure cost (work L2),116212091.99132077
Charging infrastructure cost (public L2),69727255.19479246
Charging infrastructure cost (DCFC),85902334.21121259
Avoided vehicle gasoline,1516799311.7497184
Vehicle O&M Savings,348263574.06661105
Federal EV Tax Credit,171869830.86862236
Total Energy Supply Cost,48981695.5201923
Energy Cost,41298027.03484681
Generation Capacity Cost,7683668.485345481
Vehicle Sales (NPV),132442.08563546627
Transmission and Distribution Cost,9866593.751659669
Distribution Cost,8909717.89527826
Transmission Cost,956875.8563814108
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
